data,valor_100_milhoes_kwh,valor_twh,publicacao,url,arquivo_fonte,trecho_original,status,observado_direto_twh,nota
2015-01-01,4859.0,485.9,2015-03-16,https://www.nea.gov.cn/2015-03/16/c_134070233.htm,fontes_html/00f143f9950b10cf5a38.html,1-2月，全国全社会用电量累计8454亿千瓦时 | 2月份，全社会用电量3595亿千瓦时,reconstituido_mesma_fonte,,"Janeiro = bimestre (8454) - fevereiro (3595), em 10^8 kWh; sujeito ao arredondamento da fonte."
2015-02-01,3595.0,359.5,2015-03-16,https://www.nea.gov.cn/2015-03/16/c_134070233.htm,fontes_html/00f143f9950b10cf5a38.html,2月份，全社会用电量3595亿千瓦时,observado_mensal,359.5,
2015-03-01,4448.0,444.8,2015-04-16,https://www.nea.gov.cn/2015-04/16/c_134155763.htm,fontes_html/aebbb656ea75931a6cb0.html,3月份，全社会用电量4448亿千瓦时,observado_mensal,444.8,
2015-04-01,4415.0,441.5,2015-05-14,https://www.nea.gov.cn/2015-05/14/c_134239299.htm,fontes_html/949c8d484a5fc11fbae5.html,4月份，全社会用电量4415亿千瓦时,observado_mensal,441.5,
2015-05-01,4567.0,456.7,2015-06-15,https://www.nea.gov.cn/2015-06/15/c_134328029.htm,fontes_html/bff437272c76827de474.html,5月份，全社会用电量4567亿千瓦时,observado_mensal,456.7,
2015-06-01,4723.0,472.3,2015-07-15,https://www.nea.gov.cn/2015-07/15/c_134414315.htm,fontes_html/83e5acc71745a3cddae0.html,6月份，全社会用电量4723亿千瓦时,observado_mensal,472.3,
2015-07-01,5034.0,503.4,2015-08-14,https://www.nea.gov.cn/2015-08/14/c_134517626.htm,fontes_html/2b479d5c8838c3eba908.html,7月份，全社会用电量5034亿千瓦时,observado_mensal,503.4,
2015-08-01,5124.0,512.4,2015-09-15,https://www.nea.gov.cn/2015-09/15/c_134625502.htm,fontes_html/e79ac375bb0c51eccd9f.html,8月份，全社会用电量5124亿千瓦时,observado_mensal,512.4,
2015-09-01,4563.0,456.3,2015-10-19,https://www.nea.gov.cn/2015-10/19/c_134727170.htm,fontes_html/c3166782f7dfe850af19.html,9月份，全社会用电量4563亿千瓦时,observado_mensal,456.3,
2015-10-01,4491.0,449.1,2015-11-16,https://www.nea.gov.cn/2015-11/16/c_134821470.htm,fontes_html/ad08e7de035ff3e42cd8.html,10月份，全社会用电量4491亿千瓦时,observado_mensal,449.1,
2015-11-01,4658.0,465.8,2015-12-16,https://www.nea.gov.cn/2015-12/16/c_134923765.htm,fontes_html/f0ef7a24a2c4f7dd9189.html,11月份，全社会用电量4658亿千瓦时,observado_mensal,465.8,
2015-12-01,,,,,,,nao_localizado_mensal,,Valor mensal não localizado nos boletins coletados; não significa consumo zero nem inexistência em outras bases. Há total anual separado; diferença entre publicações pode conter revisões.
2016-01-01,4950.0,495.0,2016-03-16,https://www.nea.gov.cn/2016-03/16/c_135194541.htm,fontes_html/3eb3de571554ce24124a.html,1-2月，全国全社会用电量累计8762亿千瓦时 | 2月份，全社会用电量3812亿千瓦时,reconstituido_mesma_fonte,,"Janeiro = bimestre (8762) - fevereiro (3812), em 10^8 kWh; sujeito ao arredondamento da fonte."
2016-02-01,3812.0,381.2,2016-03-16,https://www.nea.gov.cn/2016-03/16/c_135194541.htm,fontes_html/3eb3de571554ce24124a.html,2月份，全社会用电量3812亿千瓦时,observado_mensal,381.2,
2016-03-01,4762.0,476.2,2016-04-15,https://www.nea.gov.cn/2016-04/15/c_135282340.htm,fontes_html/a85bd80fa46a444e8177.html,3月份，全社会用电量4762亿千瓦时,observado_mensal,476.2,
2016-04-01,4569.0,456.9,2016-05-18,https://www.nea.gov.cn/2016-05/18/c_135367992.htm,fontes_html/88b27bb9fa73a345c225.html,4月份，全社会用电量4569亿千瓦时,observado_mensal,456.9,
2016-05-01,4730.0,473.0,2016-06-15,https://www.nea.gov.cn/2016-06/15/c_135439051.htm,fontes_html/7ccd2078c6f695774c89.html,5月份，全社会用电量4730亿千瓦时,observado_mensal,473.0,
2016-06-01,4925.0,492.5,2016-07-15,https://www.nea.gov.cn/2016-07/15/c_135516219.htm,fontes_html/edf013b40c4ed8427132.html,6月份，用电量4925亿千瓦时,observado_mensal,492.5,
2016-07-01,5523.0,552.3,2016-08-16,https://www.nea.gov.cn/2016-08/16/c_135604054.htm,fontes_html/a210ac7cd9c065a70b54.html,7月份，全社会用电量5523亿千瓦时,observado_mensal,552.3,
2016-08-01,5631.0,563.1,2016-09-18,https://www.nea.gov.cn/2016-09/18/c_135694559.htm,fontes_html/18a9aac7d79ee7d56629.html,8月份，全社会用电量5631亿千瓦时,observado_mensal,563.1,
2016-09-01,4965.0,496.5,2016-10-17,https://www.nea.gov.cn/2016-10/17/c_135760946.htm,fontes_html/26bff2005de7de71598b.html,9月份，全社会用电量4965亿千瓦时,observado_mensal,496.5,
2016-10-01,4890.0,489.0,2016-11-16,https://www.nea.gov.cn/2016-11/16/c_135834653.htm,fontes_html/150a4283bcffead78ae6.html,10月份，全社会用电量4890亿千瓦时,observado_mensal,489.0,
