ano,mes,tipo,valor_100_milhoes_kwh,valor_twh,publicacao,url,arquivo_fonte,trecho_original
2024,10,mensal,7742.0,774.2,2024-11-20,https://www.nea.gov.cn/2024-11/20/c_1310787334.htm,fontes_html/c43edbeed251bcac529a.html,10月份，全社会用电量7742亿千瓦时
2024,10,acumulado,81836.0,8183.6,2024-11-20,https://www.nea.gov.cn/2024-11/20/c_1310787334.htm,fontes_html/c43edbeed251bcac529a.html,1～10月，全社会用电量累计81836亿千瓦时
2024,9,mensal,8475.0,847.5,2024-10-19,https://www.nea.gov.cn/2024-10/19/c_1212405503.htm,fontes_html/e7566e8a12f887459db9.html,9月份，全社会用电量8475亿千瓦时
2024,9,acumulado,74094.0,7409.4,2024-10-19,https://www.nea.gov.cn/2024-10/19/c_1212405503.htm,fontes_html/e7566e8a12f887459db9.html,1～9月，全社会用电量累计74094亿千瓦时
2024,8,mensal,9649.0,964.9,2024-09-20,https://www.nea.gov.cn/2024-09/20/c_1212399358.htm,fontes_html/c2a762b521afba14e113.html,8月份，全社会用电量9649亿千瓦时
2024,8,acumulado,65619.0,6561.9,2024-09-20,https://www.nea.gov.cn/2024-09/20/c_1212399358.htm,fontes_html/c2a762b521afba14e113.html,1～8月，全社会用电量累计65619亿千瓦时
2024,7,mensal,9396.0,939.6,2024-08-22,https://www.nea.gov.cn/2024-08/22/c_1310785024.htm,fontes_html/8659e953c984e35ef7ed.html,7月份，全社会用电量9396亿千瓦时
2024,7,acumulado,55971.0,5597.1,2024-08-22,https://www.nea.gov.cn/2024-08/22/c_1310785024.htm,fontes_html/8659e953c984e35ef7ed.html,1～7月，全社会用电量累计55971亿千瓦时
2024,6,mensal,8205.0,820.5,2024-07-19,https://www.nea.gov.cn/2024-07/19/c_1310782234.htm,fontes_html/048f31195fb943d6d1f1.html,6月份，全社会用电量8205亿千瓦时
2024,6,acumulado,46575.0,4657.5,2024-07-19,https://www.nea.gov.cn/2024-07/19/c_1310782234.htm,fontes_html/048f31195fb943d6d1f1.html,1～6月，全社会用电量累计46575亿千瓦时
2024,5,mensal,7751.0,775.1,2024-06-20,https://www.nea.gov.cn/2024-06/20/c_1310779060.htm,fontes_html/792431b4744d309fa34a.html,5月份，全社会用电量7751亿千瓦时
2024,5,acumulado,38370.0,3837.0,2024-06-20,https://www.nea.gov.cn/2024-06/20/c_1310779060.htm,fontes_html/792431b4744d309fa34a.html,1～5月，全社会用电量累计38370亿千瓦时
2024,4,mensal,7412.0,741.2,2024-05-17,https://www.nea.gov.cn/2024-05/17/c_1212363227.htm,fontes_html/5a3f84ec5078f72ee130.html,4月份，全社会用电量7412亿千瓦时
2024,4,acumulado,30772.0,3077.2,2024-05-17,https://www.nea.gov.cn/2024-05/17/c_1212363227.htm,fontes_html/5a3f84ec5078f72ee130.html,1～4月，全社会用电量累计30772亿千瓦时
2024,3,mensal,7942.0,794.2,2024-04-17,https://www.nea.gov.cn/2024-04/17/c_1310771602.htm,fontes_html/2732823f5ba7a089599b.html,3月份，全社会用电量7942亿千瓦时
2024,3,acumulado,23373.0,2337.3,2024-04-17,https://www.nea.gov.cn/2024-04/17/c_1310771602.htm,fontes_html/2732823f5ba7a089599b.html,1~3月，全社会用电量累计23373亿千瓦时
2024,2,acumulado,15316.0,1531.6,2024-03-20,https://www.nea.gov.cn/2024-03/20/c_1310768302.htm,fontes_html/2f9e9e70c51f9ceae66b.html,1~2月，全社会用电量累计15316亿千瓦时
2023,12,anual,92241.0,9224.1,2024-01-18,https://www.nea.gov.cn/2024-01/18/c_1310760885.htm,fontes_html/88e17da7b605a8ea8cd3.html,2023年，全社会用电量92241亿千瓦时
2023,11,mensal,7630.0,763.0,2023-12-15,https://www.nea.gov.cn/2023-12/15/c_1310755543.htm,fontes_html/50fe4f934bfca2b7ae53.html,11月份，全社会用电量7630亿千瓦时
2023,11,acumulado,83678.0,8367.8,2023-12-15,https://www.nea.gov.cn/2023-12/15/c_1310755543.htm,fontes_html/50fe4f934bfca2b7ae53.html,1~11月，全社会用电量累计83678亿千瓦时
2023,10,mensal,7419.0,741.9,2023-11-15,https://www.nea.gov.cn/2023-11/15/c_1310750688.htm,fontes_html/bb2545438a92922c02bf.html,10月份，全社会用电量7419亿千瓦时
2023,10,acumulado,76059.0,7605.9,2023-11-15,https://www.nea.gov.cn/2023-11/15/c_1310750688.htm,fontes_html/bb2545438a92922c02bf.html,1~10月，全社会用电量累计76059亿千瓦时
2023,9,mensal,7811.0,781.1,2023-10-16,https://www.nea.gov.cn/2023-10/16/c_1310745454.htm,fontes_html/2576fcd1e32079cc238e.html,9月份，全社会用电量7811亿千瓦时
2023,9,acumulado,68637.0,6863.7,2023-10-16,https://www.nea.gov.cn/2023-10/16/c_1310745454.htm,fontes_html/2576fcd1e32079cc238e.html,1~9月，全社会用电量累计68637亿千瓦时
2023,8,mensal,8861.0,886.1,2023-09-14,https://www.nea.gov.cn/2023-09/14/c_1310741272.htm,fontes_html/93ae882b8209e61cc991.html,8月份，全社会用电量8861亿千瓦时
2023,8,acumulado,60826.0,6082.6,2023-09-14,https://www.nea.gov.cn/2023-09/14/c_1310741272.htm,fontes_html/93ae882b8209e61cc991.html,1~8月，全社会用电量累计60826亿千瓦时
2023,7,mensal,8888.0,888.8,2023-08-14,https://www.nea.gov.cn/2023-08/14/c_1310736871.htm,fontes_html/d381d2c88c00f5d2f218.html,7月份，全社会用电量8888亿千瓦时
2023,7,acumulado,51965.0,5196.5,2023-08-14,https://www.nea.gov.cn/2023-08/14/c_1310736871.htm,fontes_html/d381d2c88c00f5d2f218.html,1~7月，全社会用电量累计51965亿千瓦时
2023,6,mensal,7751.0,775.1,2023-07-13,https://www.nea.gov.cn/2023-07/13/c_1310732362.htm,fontes_html/88555cbb82435b6b466e.html,6月份，全社会用电量7751亿千瓦时
2023,6,acumulado,43076.0,4307.6,2023-07-13,https://www.nea.gov.cn/2023-07/13/c_1310732362.htm,fontes_html/88555cbb82435b6b466e.html,1~6月，全社会用电量累计43076亿千瓦时
2023,4,mensal,6901.0,690.1,2023-05-15,https://www.nea.gov.cn/2023-05/15/c_1310718974.htm,fontes_html/ce6af6c845565b999678.html,4月份，全社会用电量6901亿千瓦时
2023,4,acumulado,28103.0,2810.3,2023-05-15,https://www.nea.gov.cn/2023-05/15/c_1310718974.htm,fontes_html/ce6af6c845565b999678.html,1~4月，全社会用电量累计28103亿千瓦时
2023,3,mensal,7369.0,736.9,2023-04-14,https://www.nea.gov.cn/2023-04/14/c_1310710757.htm,fontes_html/e7dcfddb299510e615b4.html,3月份，全社会用电量7369亿千瓦时
2023,3,acumulado,21203.0,2120.3,2023-04-14,https://www.nea.gov.cn/2023-04/14/c_1310710757.htm,fontes_html/e7dcfddb299510e615b4.html,1~3月，全社会用电量累计21203亿千瓦时
2023,2,mensal,6950.0,695.0,2023-03-16,https://www.nea.gov.cn/2023-03/16/c_1310702980.htm,fontes_html/dc3748f0df09643cf344.html,2月份，全社会用电量6950亿千瓦时
2023,2,acumulado,13834.0,1383.4,2023-03-16,https://www.nea.gov.cn/2023-03/16/c_1310702980.htm,fontes_html/dc3748f0df09643cf344.html,1~2月，全社会用电量累计13834亿千瓦时
2022,12,anual,86372.0,8637.2,2023-01-18,https://www.nea.gov.cn/2023-01/18/c_1310691508.htm,fontes_html/2cc5b36ab0d1bbc5fa38.html,2022年，全社会用电量86372亿千瓦时
2022,11,mensal,6828.0,682.8,2022-12-15,https://www.nea.gov.cn/2022-12/15/c_1310684089.htm,fontes_html/09c4f735dd26c0db538e.html,11月份，全社会用电量6828亿千瓦时
2022,11,acumulado,78588.0,7858.8,2022-12-15,https://www.nea.gov.cn/2022-12/15/c_1310684089.htm,fontes_html/09c4f735dd26c0db538e.html,1~11月，全社会用电量累计78588亿千瓦时
2022,10,mensal,6834.0,683.4,2022-11-14,https://www.nea.gov.cn/2022-11/14/c_1310676596.htm,fontes_html/e3b79531a7da8e29b88e.html,10月份，全社会用电量6834亿千瓦时
2022,10,acumulado,71760.0,7176.0,2022-11-14,https://www.nea.gov.cn/2022-11/14/c_1310676596.htm,fontes_html/e3b79531a7da8e29b88e.html,1~10月，全社会用电量累计71760亿千瓦时
2022,9,mensal,7092.0,709.2,2022-10-13,https://www.nea.gov.cn/2022-10/13/c_1310669666.htm,fontes_html/8c9dae2c386d7b174a7f.html,9月份，全社会用电量7092亿千瓦时
2022,9,acumulado,64931.0,6493.1,2022-10-13,https://www.nea.gov.cn/2022-10/13/c_1310669666.htm,fontes_html/8c9dae2c386d7b174a7f.html,1~9月，全社会用电量累计64931亿千瓦时
2022,8,mensal,8520.0,852.0,2022-09-15,https://www.nea.gov.cn/2022-09/15/c_1310663044.htm,fontes_html/610653f8da6e36c3a17f.html,8月份，全社会用电量8520亿千瓦时
2022,8,acumulado,57839.0,5783.9,2022-09-15,https://www.nea.gov.cn/2022-09/15/c_1310663044.htm,fontes_html/610653f8da6e36c3a17f.html,1~8月，全社会用电量累计57839亿千瓦时
2022,7,mensal,8324.0,832.4,2022-08-12,https://www.nea.gov.cn/2022-08/12/c_1310651984.htm,fontes_html/22c81115c58eb488da81.html,7月份，全社会用电量8324亿千瓦时
2022,7,acumulado,49303.0,4930.3,2022-08-12,https://www.nea.gov.cn/2022-08/12/c_1310651984.htm,fontes_html/22c81115c58eb488da81.html,1~7月，全社会用电量累计49303亿千瓦时
2022,6,mensal,7451.0,745.1,2022-07-14,https://www.nea.gov.cn/2022-07/14/c_1310641690.htm,fontes_html/9b6731b21d572e2f4618.html,6月份，全社会用电量7451亿千瓦时
2022,6,acumulado,40977.0,4097.7,2022-07-14,https://www.nea.gov.cn/2022-07/14/c_1310641690.htm,fontes_html/9b6731b21d572e2f4618.html,1~6月，全社会用电量累计40977亿千瓦时
2022,5,mensal,6716.0,671.6,2022-06-15,https://www.nea.gov.cn/2022-06/15/c_1310623336.htm,fontes_html/604d9e87aa8541d6f943.html,5月份，全社会用电量6716亿千瓦时
2022,5,acumulado,33526.0,3352.6,2022-06-15,https://www.nea.gov.cn/2022-06/15/c_1310623336.htm,fontes_html/604d9e87aa8541d6f943.html,1~5月，全社会用电量累计33526亿千瓦时
2022,3,mensal,6944.0,694.4,2022-04-14,https://www.nea.gov.cn/2022-04/14/c_1310557516.htm,fontes_html/ea9ecc91d6a38f0310f8.html,3月份，我国经济持续稳定恢复，全社会用电量持续增长，达到6944亿千瓦时
2022,3,acumulado,20423.0,2042.3,2022-04-14,https://www.nea.gov.cn/2022-04/14/c_1310557516.htm,fontes_html/ea9ecc91d6a38f0310f8.html,1~3月，全社会用电量累计20423亿千瓦时
2022,2,mensal,6235.0,623.5,2022-03-15,https://www.nea.gov.cn/2022-03/15/c_1310514668.htm,fontes_html/832dddd13f5c38617783.html,2月份，我国经济持续稳定恢复，全社会用电量持续增长，达到6235亿千瓦时
2022,2,acumulado,13467.0,1346.7,2022-03-15,https://www.nea.gov.cn/2022-03/15/c_1310514668.htm,fontes_html/832dddd13f5c38617783.html,1—2月，全社会用电量累计13467亿千瓦时
2021,12,anual,83128.0,8312.8,2022-01-17,https://www.nea.gov.cn/2022-01/17/c_1310427282.htm,fontes_html/4a01b65c2bc5a49ad94a.html,2021年，全社会用电量83128亿千瓦时
2021,11,mensal,6718.0,671.8,2021-12-16,https://www.nea.gov.cn/2021-12/16/c_1310376351.htm,fontes_html/9a11543b878a7d74ccb8.html,11月份，我国经济持续稳定恢复，全社会用电量持续增长，达到6718亿千瓦时
2021,11,acumulado,74972.0,7497.2,2021-12-16,https://www.nea.gov.cn/2021-12/16/c_1310376351.htm,fontes_html/9a11543b878a7d74ccb8.html,1-11月，全社会用电量累计74972亿千瓦时
