data,valor_twh,status
2015-01-01,485.9,reconstituido_mesma_fonte
2015-02-01,359.5,observado_mensal
2015-03-01,444.8,observado_mensal
2015-04-01,441.5,observado_mensal
2015-05-01,456.7,observado_mensal
2015-06-01,472.3,observado_mensal
2015-07-01,503.4,observado_mensal
2015-08-01,512.4,observado_mensal
2015-09-01,456.3,observado_mensal
2015-10-01,449.1,observado_mensal
2015-11-01,465.8,observado_mensal
2015-12-01,,nao_localizado_mensal
2016-01-01,495.0,reconstituido_mesma_fonte
2016-02-01,381.2,observado_mensal
2016-03-01,476.2,observado_mensal
2016-04-01,456.9,observado_mensal
2016-05-01,473.0,observado_mensal
2016-06-01,492.5,observado_mensal
2016-07-01,552.3,observado_mensal
2016-08-01,563.1,observado_mensal
2016-09-01,496.5,observado_mensal
2016-10-01,489.0,observado_mensal
2016-11-01,507.2,observado_mensal
2016-12-01,,nao_localizado_mensal
2017-01-01,486.8,reconstituido_mesma_fonte
2017-02-01,448.8,observado_mensal
2017-03-01,513.9,observado_mensal
2017-04-01,484.7,observado_mensal
2017-05-01,496.8,observado_mensal
2017-06-01,524.4,observado_mensal
2017-07-01,607.2,observado_mensal
2017-08-01,599.1,observado_mensal
2017-09-01,531.7,observado_mensal
2017-10-01,513.0,observado_mensal
2017-11-01,531.0,observado_mensal
2017-12-01,,nao_localizado_mensal
2018-01-01,599.5,reconstituido_mesma_fonte
2018-02-01,455.7,observado_mensal
2018-03-01,532.5,observado_mensal
2018-04-01,521.7,observado_mensal
2018-05-01,553.4,observado_mensal
2018-06-01,566.3,observado_mensal
2018-07-01,648.4,observado_mensal
2018-08-01,652.1,observado_mensal
2018-09-01,574.2,observado_mensal
2018-10-01,548.1,observado_mensal
2018-11-01,564.7,observado_mensal
2018-12-01,,nao_localizado_mensal
2019-01-01,617.2,reconstituido_mesma_fonte
2019-02-01,489.1,observado_mensal
2019-03-01,573.2,observado_mensal
2019-04-01,553.4,observado_mensal
2019-05-01,566.5,observado_mensal
2019-06-01,598.7,observado_mensal
2019-07-01,667.2,observado_mensal
2019-08-01,677.0,observado_mensal
2019-09-01,602.0,observado_mensal
2019-10-01,579.0,observado_mensal
2019-11-01,591.2,observado_mensal
2019-12-01,,nao_localizado_mensal
2020-01-01,580.5,reconstituido_mesma_fonte
2020-02-01,439.8,observado_mensal
2020-03-01,549.3,observado_mensal
2020-04-01,557.2,observado_mensal
2020-05-01,592.6,observado_mensal
2020-06-01,635.0,observado_mensal
2020-07-01,682.4,observado_mensal
2020-08-01,729.4,observado_mensal
2020-09-01,645.4,observado_mensal
2020-10-01,617.2,observado_mensal
2020-11-01,646.7,observado_mensal
2020-12-01,,nao_localizado_mensal
2021-01-01,732.4,reconstituido_mesma_fonte
2021-02-01,526.4,observado_mensal
2021-03-01,663.1,observado_mensal
2021-04-01,636.1,observado_mensal
2021-05-01,672.4,observado_mensal
2021-06-01,703.3,observado_mensal
2021-07-01,775.8,observado_mensal
2021-08-01,760.7,observado_mensal
2021-09-01,694.7,observado_mensal
2021-10-01,660.3,observado_mensal
2021-11-01,671.8,observado_mensal
2021-12-01,,nao_localizado_mensal
2022-01-01,723.2,reconstituido_mesma_fonte
2022-02-01,623.5,observado_mensal
2022-03-01,694.4,observado_mensal
2022-04-01,636.2,observado_mensal
2022-05-01,671.6,observado_mensal
2022-06-01,745.1,observado_mensal
2022-07-01,832.4,observado_mensal
2022-08-01,852.0,observado_mensal
2022-09-01,709.2,observado_mensal
2022-10-01,683.4,observado_mensal
2022-11-01,682.8,observado_mensal
2022-12-01,,nao_localizado_mensal
2023-01-01,688.4,reconstituido_mesma_fonte
2023-02-01,695.0,observado_mensal
2023-03-01,736.9,observado_mensal
2023-04-01,690.1,observado_mensal
2023-05-01,722.2,observado_mensal
2023-06-01,775.1,observado_mensal
2023-07-01,888.8,observado_mensal
2023-08-01,886.1,observado_mensal
2023-09-01,781.1,observado_mensal
2023-10-01,741.9,observado_mensal
2023-11-01,763.0,observado_mensal
2023-12-01,,nao_localizado_mensal
2024-01-01,,nao_localizado_mensal
2024-02-01,,nao_localizado_mensal
2024-03-01,794.2,observado_mensal
2024-04-01,741.2,observado_mensal
2024-05-01,775.1,observado_mensal
2024-06-01,820.5,observado_mensal
2024-07-01,939.6,observado_mensal
2024-08-01,964.9,observado_mensal
2024-09-01,847.5,observado_mensal
2024-10-01,774.2,observado_mensal
2024-11-01,784.9,observado_mensal
2024-12-01,,nao_localizado_mensal
