data,count,mean,median,std,Total anual NEA (TWh)
2015,11,458.8818181818182,456.7,40.35868724777401,5550.0
2016,11,489.3545454545454,492.5,47.96159637952774,5919.8
2017,11,521.5818181818181,513.9,47.06654476763339,6307.7
2018,11,565.1454545454545,564.7,55.78190322382991,6844.9
2019,11,592.2272727272727,591.2,51.87591138301267,7225.5
2020,11,606.8636363636364,617.2,76.99362665477288,7511.0
2021,11,681.5454545454545,672.4,67.44439730083384,8312.8
2022,11,713.9818181818182,694.4,72.43773627304788,8637.2
2023,11,760.7818181818183,741.9,70.49381275235177,9224.1
2024,9,826.9000000000001,794.2,77.33766870031704,9852.1
