Repetição,Cenário,Método,N apagado,MAE,RMSE,MAPE (%)
0,Aleatório 10%,Média global,8,65.3375,80.8022835866196,12.24779404149292
0,Aleatório 10%,Linear,8,20.231249999999996,25.85863612992766,3.76683815573705
0,Aleatório 10%,PCHIP,8,20.494753391902947,27.91818608160574,3.811415962929962
0,Aleatório 10%,Harmônica log,8,15.197467961237948,20.56424620260463,2.721062650154833
0,Aleatório 10%,Harmônica + resíduo,8,25.798808853313105,32.47024730150012,4.933589054020915
0,Aleatório 20%,Média global,16,87.5669894366197,110.75281474476891,14.192729479871884
0,Aleatório 20%,Linear,16,28.15781249999999,33.21853885686006,4.499460850680041
0,Aleatório 20%,PCHIP,16,32.22206275267082,42.869309297851515,5.1487178772614435
0,Aleatório 20%,Harmônica log,16,15.453025682309999,17.587619610794146,2.5046827511029055
0,Aleatório 20%,Harmônica + resíduo,16,23.587582167401205,28.89463982588693,4.047258106316938
0,Bloco 3 meses,Média global,3,146.61547619047624,152.23989137288157,34.716800446864866
0,Bloco 3 meses,Linear,3,36.23333333333335,51.74491923528985,9.19151486479581
0,Bloco 3 meses,PCHIP,3,36.16534784845777,51.66926407964743,9.173925225574564
0,Bloco 3 meses,Harmônica log,3,32.32803777144672,35.44660111104636,7.646017378268153
0,Bloco 3 meses,Harmônica + resíduo,3,30.27891301232008,34.232829070291054,7.071697896043548
0,Bloco 6 meses,Média global,6,60.61666666666667,76.09428770344292,11.203568905625227
0,Bloco 6 meses,Linear,6,99.60555555555555,111.9750458127777,18.928029950295407
0,Bloco 6 meses,PCHIP,6,113.84876380043556,123.98934069470374,21.38357837745251
0,Bloco 6 meses,Harmônica log,6,42.57735391261198,56.45683410081691,8.357155125221388
0,Bloco 6 meses,Harmônica + resíduo,6,32.24287478765881,47.26157559570587,6.440367541343623
1,Aleatório 10%,Média global,8,58.372626582278514,73.85718393366213,11.518374753994063
1,Aleatório 10%,Linear,8,31.657500000000013,38.103636637465485,5.990476347588749
1,Aleatório 10%,PCHIP,8,30.524340387858828,36.82672568715438,5.854228179066212
1,Aleatório 10%,Harmônica log,8,24.065426498121177,25.969995762946386,4.5284329105322065
1,Aleatório 10%,Harmônica + resíduo,8,24.892039420433655,30.61900922442853,4.766172897433475
1,Aleatório 20%,Média global,16,88.4248214285714,98.85496384623693,15.96875057108097
1,Aleatório 20%,Linear,16,39.160937499999996,48.98931222903227,7.150007600496014
1,Aleatório 20%,PCHIP,16,39.75069332887766,49.140900891976536,7.237559930724647
1,Aleatório 20%,Harmônica log,16,19.64844086448419,27.408435650453082,3.536103850462749
1,Aleatório 20%,Harmônica + resíduo,16,28.53112929903319,37.908935634698494,5.266301497580407
1,Bloco 3 meses,Média global,3,35.67372549019611,43.49948362789937,5.81133460670947
1,Bloco 3 meses,Linear,3,16.800000000000068,20.496991649182768,2.752468043154008
