Repetição,Cenário,Método,Data,Real,Estimado
0,Aleatório 10%,Média global,2015-04-01,441.5,579.8862499999999
0,Aleatório 10%,Média global,2016-03-01,476.2,579.8862499999999
0,Aleatório 10%,Média global,2017-08-01,599.1,579.8862499999999
0,Aleatório 10%,Média global,2018-04-01,521.7,579.8862499999999
0,Aleatório 10%,Média global,2019-05-01,566.5,579.8862499999999
0,Aleatório 10%,Média global,2019-11-01,591.2,579.8862499999999
0,Aleatório 10%,Média global,2020-06-01,635.0,579.8862499999999
0,Aleatório 10%,Média global,2021-06-01,703.3,579.8862499999999
0,Aleatório 10%,Linear,2015-04-01,441.5,450.75
0,Aleatório 10%,Linear,2016-03-01,476.2,419.04999999999995
0,Aleatório 10%,Linear,2017-08-01,599.1,569.45
0,Aleatório 10%,Linear,2018-04-01,521.7,542.95
0,Aleatório 10%,Linear,2019-05-01,566.5,576.05
0,Aleatório 10%,Linear,2019-11-01,591.2,579.5
0,Aleatório 10%,Linear,2020-06-01,635.0,637.5
0,Aleatório 10%,Linear,2021-06-01,703.3,724.0999999999999
0,Aleatório 10%,PCHIP,2015-04-01,441.5,451.5620981423026
0,Aleatório 10%,PCHIP,2016-03-01,476.2,413.6444559432288
0,Aleatório 10%,PCHIP,2017-08-01,599.1,575.4766789982925
0,Aleatório 10%,PCHIP,2018-04-01,521.7,545.0530082319635
0,Aleatório 10%,PCHIP,2019-05-01,566.5,567.035329244674
0,Aleatório 10%,PCHIP,2019-11-01,591.2,579.3888888888889
0,Aleatório 10%,PCHIP,2020-06-01,635.0,635.7578742022795
0,Aleatório 10%,PCHIP,2021-06-01,703.3,734.5597411444141
0,Aleatório 10%,Harmônica log,2015-04-01,441.5,441.6331667416927
0,Aleatório 10%,Harmônica log,2016-03-01,476.2,435.76396307790117
0,Aleatório 10%,Harmônica log,2017-08-01,599.1,606.6810695977657
0,Aleatório 10%,Harmônica log,2018-04-01,521.7,532.5123732851761
0,Aleatório 10%,Harmônica log,2019-05-01,566.5,573.77766068069
0,Aleatório 10%,Harmônica log,2019-11-01,591.2,619.1219045424574
0,Aleatório 10%,Harmônica log,2020-06-01,635.0,635.1962291729011
0,Aleatório 10%,Harmônica log,2021-06-01,703.3,676.0786972528781
0,Aleatório 10%,Harmônica + resíduo,2015-04-01,441.5,465.24900647771767
0,Aleatório 10%,Harmônica + resíduo,2016-03-01,476.2,407.41583432422095
0,Aleatório 10%,Harmônica + resíduo,2017-08-01,599.1,613.3430577701021
0,Aleatório 10%,Harmônica + resíduo,2018-04-01,521.7,560.359762764777
0,Aleatório 10%,Harmônica + resíduo,2019-05-01,566.5,567.8701421963293
0,Aleatório 10%,Harmônica + resíduo,2019-11-01,591.2,620.923542806561
0,Aleatório 10%,Harmônica + resíduo,2020-06-01,635.0,612.6326282220808
0,Aleatório 10%,Harmônica + resíduo,2021-06-01,703.3,695.8065786426803
0,Aleatório 20%,Média global,2015-04-01,441.5,570.8070422535212
0,Aleatório 20%,Média global,2015-05-01,456.7,570.8070422535212
0,Aleatório 20%,Média global,2016-06-01,492.5,570.8070422535212
0,Aleatório 20%,Média global,2017-04-01,484.7,570.8070422535212
0,Aleatório 20%,Média global,2017-07-01,607.2,570.8070422535212
0,Aleatório 20%,Média global,2019-04-01,553.4,570.8070422535212
0,Aleatório 20%,Média global,2019-05-01,566.5,570.8070422535212
0,Aleatório 20%,Média global,2019-10-01,579.0,570.8070422535212
0,Aleatório 20%,Média global,2019-11-01,591.2,570.8070422535212
0,Aleatório 20%,Média global,2021-04-01,636.1,570.8070422535212
0,Aleatório 20%,Média global,2021-06-01,703.3,570.8070422535212
0,Aleatório 20%,Média global,2021-09-01,694.7,570.8070422535212
0,Aleatório 20%,Média global,2022-02-01,623.5,570.8070422535212
0,Aleatório 20%,Média global,2022-08-01,852.0,570.8070422535212
0,Aleatório 20%,Média global,2022-09-01,709.2,570.8070422535212
0,Aleatório 20%,Média global,2022-10-01,683.4,570.8070422535212
0,Aleatório 20%,Linear,2015-04-01,441.5,453.9666666666667
0,Aleatório 20%,Linear,2015-05-01,456.7,463.1333333333333
0,Aleatório 20%,Linear,2016-06-01,492.5,512.65
0,Aleatório 20%,Linear,2017-04-01,484.7,505.35
0,Aleatório 20%,Linear,2017-07-01,607.2,561.75
0,Aleatório 20%,Linear,2019-04-01,553.4,581.7
0,Aleatório 20%,Linear,2019-05-01,566.5,590.2
0,Aleatório 20%,Linear,2019-10-01,579.0,596.625
0,Aleatório 20%,Linear,2019-11-01,591.2,591.25
0,Aleatório 20%,Linear,2021-04-01,636.1,667.75
0,Aleatório 20%,Linear,2021-06-01,703.3,724.0999999999999
0,Aleatório 20%,Linear,2021-09-01,694.7,710.5
0,Aleatório 20%,Linear,2022-02-01,623.5,688.75
0,Aleatório 20%,Linear,2022-08-01,852.0,795.0
0,Aleatório 20%,Linear,2022-09-01,709.2,757.5999999999999
0,Aleatório 20%,Linear,2022-10-01,683.4,720.1999999999999
0,Aleatório 20%,PCHIP,2015-04-01,441.5,456.9679246418352
0,Aleatório 20%,PCHIP,2015-05-01,456.7,462.4983190904337
0,Aleatório 20%,PCHIP,2016-06-01,492.5,514.1281215898994
0,Aleatório 20%,PCHIP,2017-04-01,484.7,505.34999999999997
0,Aleatório 20%,PCHIP,2017-07-01,607.2,569.5556032306915
0,Aleatório 20%,PCHIP,2019-04-01,553.4,583.8915339966834
0,Aleatório 20%,PCHIP,2019-05-01,566.5,588.3355679933665
0,Aleatório 20%,PCHIP,2019-10-01,579.0,594.1986895467602
0,Aleatório 20%,PCHIP,2019-11-01,591.2,591.5380216356044
0,Aleatório 20%,PCHIP,2021-04-01,636.1,668.1258033083229
0,Aleatório 20%,PCHIP,2021-06-01,703.3,726.2331410825199
0,Aleatório 20%,PCHIP,2021-09-01,694.7,705.0229768786128
0,Aleatório 20%,PCHIP,2022-02-01,623.5,692.3935075093866
0,Aleatório 20%,PCHIP,2022-08-01,852.0,830.0625
0,Aleatório 20%,PCHIP,2022-09-01,709.2,813.6999999999999
0,Aleatório 20%,PCHIP,2022-10-01,683.4,769.2874999999999
0,Aleatório 20%,Harmônica log,2015-04-01,441.5,448.0844470509321
0,Aleatório 20%,Harmônica log,2015-05-01,456.7,449.7918963176348
0,Aleatório 20%,Harmônica log,2016-06-01,492.5,494.7829929765093
0,Aleatório 20%,Harmônica log,2017-04-01,484.7,506.2792458447602
0,Aleatório 20%,Harmônica log,2017-07-01,607.2,589.7571856154692
0,Aleatório 20%,Harmônica log,2019-04-01,553.4,572.0320722133977
0,Aleatório 20%,Harmônica log,2019-05-01,566.5,574.2118304010779
0,Aleatório 20%,Harmônica log,2019-10-01,579.0,560.3909984134029
0,Aleatório 20%,Harmônica log,2019-11-01,591.2,617.7657435278015
0,Aleatório 20%,Harmônica log,2021-04-01,636.1,646.3245221414609
0,Aleatório 20%,Harmônica log,2021-06-01,703.3,671.4140111520347
0,Aleatório 20%,Harmônica log,2021-09-01,694.7,681.4877604751232
0,Aleatório 20%,Harmônica log,2022-02-01,623.5,613.1748726799402
0,Aleatório 20%,Harmônica log,2022-08-01,852.0,822.2736860233449
0,Aleatório 20%,Harmônica log,2022-09-01,709.2,724.3912363894646
0,Aleatório 20%,Harmônica log,2022-10-01,683.4,673.0332689514942
0,Aleatório 20%,Harmônica + resíduo,2015-04-01,441.5,471.2839100762452
0,Aleatório 20%,Harmônica + resíduo,2015-05-01,456.7,464.6566457227745
0,Aleatório 20%,Harmônica + resíduo,2016-06-01,492.5,491.01009533029264
0,Aleatório 20%,Harmônica + resíduo,2017-04-01,484.7,523.7984989956722
0,Aleatório 20%,Harmônica + resíduo,2017-07-01,607.2,585.5566521576802
0,Aleatório 20%,Harmônica + resíduo,2019-04-01,553.4,604.005165217612
0,Aleatório 20%,Harmônica + resíduo,2019-05-01,566.5,592.2523997208668
0,Aleatório 20%,Harmônica + resíduo,2019-10-01,579.0,553.9254321847133
0,Aleatório 20%,Harmônica + resíduo,2019-11-01,591.2,604.7493994331184
0,Aleatório 20%,Harmônica + resíduo,2021-04-01,636.1,692.2094333024438
0,Aleatório 20%,Harmônica + resíduo,2021-06-01,703.3,693.8427736529646
0,Aleatório 20%,Harmônica + resíduo,2021-09-01,694.7,690.1191550561103
0,Aleatório 20%,Harmônica + resíduo,2022-02-01,623.5,648.04301207738
0,Aleatório 20%,Harmônica + resíduo,2022-08-01,852.0,829.4875366297299
0,Aleatório 20%,Harmônica + resíduo,2022-09-01,709.2,708.7236719742525
0,Aleatório 20%,Harmônica + resíduo,2022-10-01,683.4,638.6318328819501
0,Bloco 3 meses,Média global,2016-02-01,381.2,584.7154761904762
0,Bloco 3 meses,Média global,2016-03-01,476.2,584.7154761904762
0,Bloco 3 meses,Média global,2016-04-01,456.9,584.7154761904762
0,Bloco 3 meses,Linear,2016-02-01,381.2,469.40000000000003
0,Bloco 3 meses,Linear,2016-03-01,476.2,470.6
0,Bloco 3 meses,Linear,2016-04-01,456.9,471.8
0,Bloco 3 meses,PCHIP,2016-02-01,381.2,469.3677553009993
0,Bloco 3 meses,PCHIP,2016-03-01,476.2,469.8414980908279
0,Bloco 3 meses,PCHIP,2016-04-01,456.9,470.86978633520187
0,Bloco 3 meses,Harmônica log,2016-02-01,381.2,428.2191506120518
0,Bloco 3 meses,Harmônica log,2016-03-01,476.2,438.7608875276908
0,Bloco 3 meses,Harmônica log,2016-04-01,456.9,469.4258502299791
0,Bloco 3 meses,Harmônica + resíduo,2016-02-01,381.2,420.76389166845945
0,Bloco 3 meses,Harmônica + resíduo,2016-03-01,476.2,432.7323425407565
0,Bloco 3 meses,Harmônica + resíduo,2016-04-01,456.9,464.7051899092573
0,Bloco 6 meses,Média global,2020-02-01,439.8,578.8716049382716
0,Bloco 6 meses,Média global,2020-03-01,549.3,578.8716049382716
0,Bloco 6 meses,Média global,2020-04-01,557.2,578.8716049382716
0,Bloco 6 meses,Média global,2020-05-01,592.6,578.8716049382716
0,Bloco 6 meses,Média global,2020-06-01,635.0,578.8716049382716
0,Bloco 6 meses,Média global,2020-07-01,682.4,578.8716049382716
0,Bloco 6 meses,Linear,2020-02-01,439.8,637.2666666666667
0,Bloco 6 meses,Linear,2020-03-01,549.3,652.6222222222223
0,Bloco 6 meses,Linear,2020-04-01,557.2,667.9777777777778
0,Bloco 6 meses,Linear,2020-05-01,592.6,683.3333333333334
0,Bloco 6 meses,Linear,2020-06-01,635.0,698.6888888888889
0,Bloco 6 meses,Linear,2020-07-01,682.4,714.0444444444445
0,Bloco 6 meses,PCHIP,2020-02-01,439.8,644.6218666913993
0,Bloco 6 meses,PCHIP,2020-03-01,549.3,665.119835413847
0,Bloco 6 meses,PCHIP,2020-04-01,557.2,684.8005596891023
0,Bloco 6 meses,PCHIP,2020-05-01,592.6,702.3664889012553
0,Bloco 6 meses,PCHIP,2020-06-01,635.0,716.5200724343957
0,Bloco 6 meses,PCHIP,2020-07-01,682.4,725.9637596726138
0,Bloco 6 meses,Harmônica log,2020-02-01,439.8,559.5764490709411
0,Bloco 6 meses,Harmônica log,2020-03-01,549.3,572.1042825931977
0,Bloco 6 meses,Harmônica log,2020-04-01,557.2,608.0188878255426
0,Bloco 6 meses,Harmônica log,2020-05-01,592.6,613.818864653213
0,Bloco 6 meses,Harmônica log,2020-06-01,635.0,641.4437470891271
0,Bloco 6 meses,Harmônica log,2020-07-01,682.4,716.8018922436504
0,Bloco 6 meses,Harmônica + resíduo,2020-02-01,439.8,544.0293377820293
0,Bloco 6 meses,Harmônica + resíduo,2020-03-01,549.3,558.4581860810591
0,Bloco 6 meses,Harmônica + resíduo,2020-04-01,557.2,595.9160785702596
0,Bloco 6 meses,Harmônica + resíduo,2020-05-01,592.6,604.0332343888624
0,Bloco 6 meses,Harmônica + resíduo,2020-06-01,635.0,633.7701040821753
0,Bloco 6 meses,Harmônica + resíduo,2020-07-01,682.4,711.0905159859177
1,Aleatório 10%,Média global,2015-03-01,444.8,580.159493670886
1,Aleatório 10%,Média global,2017-07-01,607.2,580.159493670886
1,Aleatório 10%,Média global,2018-02-01,455.7,580.159493670886
1,Aleatório 10%,Média global,2018-03-01,532.5,580.159493670886
1,Aleatório 10%,Média global,2018-08-01,652.1,580.159493670886
1,Aleatório 10%,Média global,2019-11-01,591.2,580.159493670886
