Cenário,Método,MAE_medio,MAE_dp,RMSE_medio,MAPE_medio,repeticoes
Aleatório 10%,Harmônica + resíduo,32.09631107574098,8.430633649620797,39.68036628542559,5.750084326144841,20
Aleatório 10%,Harmônica log,25.0953399391541,7.260847294460681,31.51630642007651,4.43926386190325,20
Aleatório 10%,Linear,32.210970238095236,10.11417684911897,40.3456755453435,5.804740528035251,20
Aleatório 10%,Média global,88.90388882465109,22.837607037285682,105.59174801353315,15.36297948712936,20
Aleatório 10%,PCHIP,31.23298378116427,9.556888152504985,40.31808474438294,5.684686452117026,20
Aleatório 20%,Harmônica + resíduo,28.028882176807958,4.365444319114334,36.961398124934256,5.200918098493985,20
Aleatório 20%,Harmônica log,21.538210252051464,3.8543510705100927,28.507859068126965,3.909723952428822,20
Aleatório 20%,Linear,34.941979166666655,5.542059840252082,45.03040398362639,6.318623059558574,20
Aleatório 20%,Média global,88.81003512852119,15.041588584982804,106.22668869457873,15.825478270126428,20
Aleatório 20%,PCHIP,34.93448983241417,5.011663025799112,45.33921932846367,6.359802228018983,20
Bloco 3 meses,Harmônica + resíduo,22.651124494608204,11.359825104699222,26.43537097100306,4.398180483657476,20
Bloco 3 meses,Harmônica log,17.912654652667975,7.4588619076287666,21.024746060872367,3.4632430151061357,20
Bloco 3 meses,Linear,39.59377777777778,31.997781734355094,44.53900573998688,7.423506844676107,20
Bloco 3 meses,Média global,90.38585294117647,46.24830251031859,94.86514448302628,17.937696931893395,20
Bloco 3 meses,PCHIP,41.82459794110318,33.43177026191642,46.264644913685245,7.959961248797212,20
Bloco 6 meses,Harmônica + resíduo,31.2227004356315,12.603265499986723,38.00878829055074,5.198547438223422,20
Bloco 6 meses,Harmônica log,23.149110622026086,11.1946176149974,27.88189635073108,3.9294945091860916,20
Bloco 6 meses,Linear,64.76370866402115,18.348020630629723,76.29052444854571,10.887681216293633,20
Bloco 6 meses,Média global,99.20257603131587,48.963282154374276,109.91985553378149,16.09512233609894,20
Bloco 6 meses,PCHIP,69.64266614936346,21.85632722860915,80.59830490234653,11.765686851546892,20
