data,Original,Trabalho (TWh),Alternativa linear,Procedência
2015-12-01,,506.5376787171585,480.4,imputado_Harmônica log
2016-12-01,,539.34135912533,497.0,imputado_Harmônica log
2017-12-01,,574.2694253265715,565.25,imputado_Harmônica log
2018-12-01,,611.4594538044255,590.95,imputado_Harmônica log
2019-12-01,,651.0579305770789,585.85,imputado_Harmônica log
2020-12-01,,693.220828184113,689.55,imputado_Harmônica log
2021-12-01,,738.1142200392474,697.5,imputado_Harmônica log
2022-12-01,,785.9149345689436,685.5999999999999,imputado_Harmônica log
2023-12-01,,836.8112517134059,770.8,imputado_Harmônica log
2024-01-01,,775.4228850080989,778.6,imputado_Harmônica log
2024-02-01,,711.1026156794779,786.4000000000001,imputado_Harmônica log
2024-12-01,,891.0036445334006,784.9,imputado_Harmônica log
