data,Trabalho,Cópia tratada,MM3,MM6,MM12,MM centrada 2x12
2023-07-01,888.8,888.8,795.3666666666668,750.0719859791012,741.8455708702959,770.1045508410052
2023-08-01,886.1,886.1,850.0,783.1999999999999,744.6872375369626,774.7209502082123
2023-09-01,781.1,781.1,852.0,790.5666666666666,750.6789042036293,778.0988960334153
2023-10-01,741.9,741.9,803.0333333333333,799.1999999999999,755.5539042036293,782.6155627000819
2023-11-01,763.0,763.0,762.0,806.0,762.2372375369627,786.9488960334153
2023-12-01,836.8112517134059,836.8112517134059,780.570417237802,816.2852086189009,766.4785972990011,791.0447293667485
2024-01-01,775.4228850080989,775.4228850080989,791.7447122405016,797.3890227869174,773.7305043830094,795.0530627000819
2024-02-01,711.1026156794779,711.1026156794779,774.4455841336609,768.2227920668305,775.7113960334153,800.4530627000819
2024-03-01,794.2,794.2,760.2418335625256,770.4061254001639,780.4863960334152,806.503062700082
2024-04-01,741.2,741.2,748.8342052264926,770.2894587334971,784.7447293667486,810.6155627000819
2024-05-01,775.1,775.1,770.1666666666666,772.3061254001638,789.1530627000819,812.8738960334152
2024-06-01,820.5,820.5,778.9333333333334,769.5875834479294,792.9363960334152,816.044412400915
2024-07-01,939.6,939.6,845.0666666666667,796.9504359465797,797.1697293667486,
2024-08-01,964.9,964.9,908.3333333333334,839.25,803.7363960334152,
2024-09-01,847.5,847.5,917.3333333333334,848.1333333333333,809.2697293667485,
2024-10-01,774.2,774.2,862.2000000000002,853.6333333333333,811.9613960334151,
2024-11-01,784.9,784.9,802.1999999999999,855.2666666666668,813.7863960334153,
2024-12-01,891.0036445334006,891.0036445334006,816.7012148444669,867.0172740889001,818.3024287684148,
