data,mean,min,max,Observações mensais diretas
1,16.862271386031342,-12.15163664107255,31.94815631092362,0
2,-91.95573905676895,-93.99492896132783,-87.50959487045264,9
3,-12.868343853893895,-14.817942665784903,-8.160619879481455,10
4,-45.42671542389503,-69.65295100146466,-20.082748978497868,10
5,-27.20527727517301,-42.976242884621634,-7.1161562493005865,10
6,6.406317888544318,1.1962114036123639,12.370002648110127,10
7,84.30854691655068,48.248332381552174,120.70796792656759,10
8,90.99134163313272,50.24925825845378,135.05554322842278,10
9,0.696046818101733,-8.359995209080095,11.268109608457364,10
10,-34.3081887796469,-54.175723129968716,-16.85218756618189,10
11,-20.29259085772921,-41.45904035024871,-2.9083421935723215,10
12,36.825571465395456,28.630778257809972,48.07940888727649,0
